# 分类,频道，清晰度,来源,地址[,排序]

地方,优漫卡通,标清,华数,http://125.210.152.18:9090/live/YMKT.m3u8
地方,卡酷少儿,标清,华数,http://125.210.152.18:9090/live/KKDH.m3u8
地方,优优宝贝,标清,华数,http://125.210.152.18:9090/live/YYBB.m3u8
地方,炫动卡通,标清,华数,http://125.210.152.18:9090/live/XDKT.m3u8
地方,凤凰中文,标清,华数,http://125.210.152.18:9090/live/FHZW.m3u8
地方,凤凰资讯,标清,华数,http://125.210.152.18:9090/live/FHZX.m3u8
地方,求索记录,高清,华数,http://125.210.152.18:9090/live/QSJLHD.m3u8
地方,CHC高清电影,标清,华数,http://125.210.152.18:9090/live/CHCGQDY.m3u8
地方,CHC家庭影院,高清,华数,http://125.210.152.18:9090/live/JTYYHD.m3u8
地方,CHC动作电影,高清,华数,http://125.210.152.18:9090/live/DZDYHD.m3u8
地方,华数服务,高清,华数,http://125.210.152.18:9090/live/HSFWHD.m3u8
地方,探索记录,标清,华数,http://125.210.152.18:9090/live/TSJL.m3u8
地方,风尚音乐,标清,华数,http://125.210.152.18:9090/live/FSYY.m3u8
地方,高清娱乐,标清,华数,http://125.210.152.18:9090/live/GQYL.m3u8
地方,新视觉,高清,华数,http://125.210.152.18:9090/live/XSJHD.m3u8
地方,电子竞技,标清,华数,http://125.210.152.18:9090/live/DZJJ.m3u8
地方,炫动3D,标清,华数,http://125.210.152.18:9090/live/XD3D.m3u8
地方,亚洲影院,标清,华数,http://125.210.152.18:9090/live/YZYY.m3u8
地方,欧美影院,标清,华数,http://125.210.152.18:9090/live/OMYY.m3u8
地方,精品剧场,标清,华数,http://125.210.152.18:9090/live/JPJC.m3u8
地方,少儿动漫,标清,华数,http://125.210.152.18:9090/live/SEDM.m3u8
地方,漫游世界,标清,华数,http://125.210.152.18:9090/live/MYSJ.m3u8
地方,精彩影视,标清,华数,http://125.210.152.18:9090/live/JCYS.m3u8

央视,CCTV-1综合,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
央视,CCTV-2财经,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
央视,CCTV-3综艺,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
央视,CCTV-4中文国际,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
央视,CCTV-5+体育赛事,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
央视,CCTV-6电影,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
央视,CCTV-7国防军事,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
央视,CCTV-8电视剧,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
央视,CCTV-9纪录,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
央视,CCTV-10科教,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
央视,CCTV-12社会与法,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
央视,CCTV-13新闻,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv13hd.m3u8
央视,CCTV-14少儿,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
